estagio,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
I,tbl1xr1,1.0821530685141656,0.9375282526233338,1.2490879719281522,0.28074348917408976,479,216,0.6898671668649743
I,serpini1,1.071386237760684,0.9444746541831298,1.2153512700198157,0.2837607557540873,479,216,0.6937950478187435
I,akr1c3,0.919633665854178,0.788097280846986,1.0731239656904703,0.2874078643566589,479,216,0.6992161476139611
I,rasgef1b,1.0751248663823718,0.9394046457674483,1.2304532275007047,0.2927635517897691,479,216,0.7087196872534509
I,gldc,0.928507301364112,0.8069614774832441,1.0683605509587253,0.3000986744022458,479,216,0.7158451306473083
I,hes6,1.0790616711952123,0.9345319579613292,1.245943576699799,0.2996861973671652,479,216,0.7158451306473083
I,srd5a1,1.0766659911148038,0.9370470532190487,1.2370879908762062,0.2972228223202015,479,216,0.7158451306473083
I,palb2,0.9250485676935334,0.7973775904915203,1.073161401569333,0.3038785853196064,479,216,0.7213428554431432
I,acvr1c,0.9304123029448267,0.81005541837051,1.0686516426400223,0.3074835663728506,479,216,0.7263742220112268
I,stat2,1.0734109487694015,0.9345439537923812,1.2329126524893257,0.3162338608256052,479,216,0.7383582739719091
I,casp8,0.9313480930145812,0.8096278664382902,1.07136785468835,0.3196014700496103,479,216,0.7383582739719091
I,map3k4,1.0692893704766846,0.9382271157468465,1.2186598944161535,0.3152833626673478,479,216,0.7383582739719091
I,raf1,1.0766234827407084,0.9311638355058013,1.2448057789520015,0.3188002915681901,479,216,0.7383582739719091
I,mtap,0.9198857335023557,0.780264370801784,1.0844910960520204,0.32010624556655365,479,216,0.7383582739719091
I,psen2,0.9328026737884236,0.8110144444842761,1.0728795697099354,0.32981523211933045,479,216,0.7467110967347883
I,izumo1r,0.9322040692650493,0.8094434279816289,1.0735826578037764,0.32983557647180833,479,216,0.7467110967347883
I,tert,0.9386055114879898,0.8263209885287556,1.0661478026404665,0.32972904535456493,479,216,0.7467110967347883
I,smarcd1,0.9403274691592386,0.8312359812464148,1.0637361341475646,0.3281170588864709,479,216,0.7467110967347883
I,ccnd3,1.0731190542232358,0.9301595136739041,1.2380505575742522,0.3333242474352787,479,216,0.7511315990592226
I,hes5,0.9249407983003616,0.7880047432525961,1.0856730085522766,0.33985618654742583,479,216,0.7610156916339064
I,rassf1,0.9368696450508738,0.8192297657546063,1.0714023934533963,0.34082297846181087,479,216,0.7610156916339064
I,map3k10,1.068165366332855,0.9320167424311739,1.2242025254361346,0.34317412893080146,479,216,0.7627824956689179
I,pten,0.9336620545971756,0.8090012077859478,1.0775321764726802,0.3478690884932031,479,216,0.7697193858514766
I,dtx1,1.0682533330097956,0.928471964498087,1.2290787736422695,0.35613754481445337,479,216,0.7697384817892213
I,braf,0.9370940849357965,0.8166717435018344,1.0752733041261215,0.35454437681183104,479,216,0.7697384817892213
