tratamento,estrato,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
hormone_therapy,nao tratado,jak2,0.851761937812775,0.772469842310442,0.9391931684175813,0.0012895558666733836,727,407,0.0023212005600120903
chemotherapy,tratado,gsk3b,1.2494019261398508,1.093036655806498,1.4281361606214207,0.0010984693467599247,396,212,0.002027943409402938
chemotherapy,tratado,stat5a,0.8889453447468697,0.7732338539572077,1.0219726178606552,0.09802739570534749,396,212,0.11763287484641699
chemotherapy,tratado,aurka,1.2547287231761355,1.1035611086201622,1.4266035260446035,0.0005313492768187916,396,212,0.0011616722116783043
chemotherapy,tratado,vegfa,1.0886746521883333,0.9770498654659556,1.2130522097274532,0.12372833222099128,396,212,0.14368451483728018
chemotherapy,tratado,bcl2,0.7798319750532774,0.6728111544925466,0.9038760806130962,0.0009605180819710396,396,212,0.0018199289974188118
chemotherapy,tratado,spry2,0.873597935477604,0.7627973434769963,1.0004929348495388,0.05083828254583594,396,212,0.06421677795263488
chemotherapy,tratado,igf1,0.8581067085129552,0.742469962398819,0.9917534183011267,0.03825690751892673,396,212,0.04918745252433436
chemotherapy,tratado,abcb1,0.8446056998993114,0.7323685224258253,0.9740434855659093,0.02026148312045674,396,212,0.030392224680685108
chemotherapy,tratado,flt3,0.8098587429627014,0.6649759847632986,0.9863080751503943,0.03598905318504666,396,212,0.047985404246728876
chemotherapy,tratado,cdkn2c,0.8110213839272147,0.7042149659697928,0.9340268482953951,0.0036461548047830006,396,212,0.005966435135099455
chemotherapy,tratado,pdgfra,0.8873993369613122,0.7716634094653425,1.0204936162322262,0.09384714486099217,396,212,0.11452532932188876
chemotherapy,tratado,erbb2,1.1830451261208068,1.0733625870404961,1.3039356759184222,0.0007088884998184079,396,212,0.0014582849139121534
chemotherapy,tratado,mapt,0.8672716555889225,0.7465124249586783,1.0075654462544075,0.06268160285197061,396,212,0.07781164491968764
chemotherapy,tratado,ar,1.0634840232676936,0.9405975609080152,1.2024252610795845,0.3258735170762771,396,212,0.3501924362610739
chemotherapy,tratado,tubb4a,1.0106297713132062,0.8818336720690141,1.1582371676374916,0.8791722274548385,396,212,0.8791722274548385
chemotherapy,tratado,nrip1,0.9763021973942623,0.8525193517973577,1.118057881768097,0.7288070278611385,396,212,0.7496300858000282
chemotherapy,tratado,ncoa3,1.1488036484114192,1.0103210860006069,1.3062677211139537,0.03429055314815574,396,212,0.04663907372354052
chemotherapy,tratado,jak2,0.8213060394567717,0.719647146713341,0.9373254844806062,0.0034999819940265127,396,212,0.005860434966742068
chemotherapy,nao tratado,gsk3b,1.220049466728115,1.1469410904862465,1.2978179207377587,2.817731149946167e-10,1501,886,2.898237754230343e-09
chemotherapy,nao tratado,stat5a,0.7875440763523628,0.7353356757703366,0.8434592426757327,8.82134223304606e-12,1501,886,4.37648244923839e-10
chemotherapy,nao tratado,aurka,1.1699130943634506,1.092203518994906,1.2531516558586069,7.641467954799886e-06,1501,886,2.750928463727959e-05
chemotherapy,nao tratado,vegfa,1.1902817414349434,1.1112448331501208,1.2749401227605137,6.734812464696375e-07,1501,886,2.69392498587855e-06
chemotherapy,nao tratado,bcl2,0.8728176130997746,0.810690693708927,0.9397056012224444,0.0003054176917445509,1501,886,0.0007582784070899194
chemotherapy,nao tratado,spry2,0.7780041186938866,0.722767279621273,0.8374623834961386,2.3780501938197863e-11,1501,886,4.37648244923839e-10
chemotherapy,nao tratado,igf1,0.7824382096778844,0.7230427015122426,0.8467128575995548,1.1226064952109936e-09,1501,886,9.376041431796861e-09
chemotherapy,nao tratado,abcb1,0.8084804265792217,0.7517757137420945,0.8694622454722704,1.0035466963937491e-08,1501,886,6.021280178362495e-08
chemotherapy,nao tratado,flt3,0.8194903350044459,0.7632468039523616,0.8798784425799114,4.074136633185604e-08,1501,886,2.0952702684954534e-07
chemotherapy,nao tratado,cdkn2c,0.7969622820930683,0.7345461553587822,0.8646820549605337,4.92104488386585e-08,1501,886,2.3621015442556079e-07
chemotherapy,nao tratado,pdgfra,0.81640707677284,0.7647642933128858,0.8715371792758142,1.1720051789746077e-09,1501,886,9.376041431796861e-09
chemotherapy,nao tratado,erbb2,1.0482050283760447,0.9687790734838594,1.1341427695807162,0.24159258540243006,1501,886,0.2676102484457687
chemotherapy,nao tratado,mapt,0.9155071125469356,0.8527359278722743,0.9828989793069549,0.014853402997740822,1501,886,0.022754149273134877
chemotherapy,nao tratado,ar,1.149717789178142,1.0683943795571336,1.2372313258523535,0.0001933933605572396,1501,886,0.0004972972128614732
chemotherapy,nao tratado,tubb4a,1.0344819058594088,0.9750093863996709,1.0975820627760018,0.2617776442035349,1501,886,0.2855756118584017
chemotherapy,nao tratado,nrip1,0.8929523479858943,0.8355689520646717,0.9542765965672296,0.0008347365161295736,1501,886,0.0016694730322591473
chemotherapy,nao tratado,ncoa3,1.1167025228544007,1.046221383857714,1.191931787850915,0.0009054725754501135,1501,886,0.0017620006873623833
chemotherapy,nao tratado,jak2,0.8620677081269076,0.8037230702133895,0.9246477560957272,3.3097198810745575e-05,1501,886,0.00010360862236407311
