gene,importancia_gini,posicao
cyp2c8,0.0010354798217132974,342
map2k2,0.0010330016807583078,343
star,0.001026006434637985,344
hist1h2bc,0.0010248307256422457,345
tgfb2,0.001019905645811557,346
tubb4a,0.001019515768700629,347
hdac1,0.0010163810201213317,348
ugt2b15,0.0010158085577592572,349
inha,0.0010155581809048045,350
tp53,0.0010153881371274954,351
dnah11,0.001015294240953986,352
mmp14,0.0010117559547320268,353
bmpr2,0.0010113246317650874,354
hsd17b1,0.0010101245977811488,355
casp9,0.0010085107359379126,356
mtor,0.0010068053904844247,357
map3k4,0.0010049091560277047,358
dtx4,0.0010020736040836713,359
mapk14,0.001001001459464221,360
cyp3a5,0.0010003032606124742,361
syne1,0.000993877622362544,362
hes5,0.0009926589638663697,363
hsd17b12,0.000992317439009915,364
men1,0.0009911538301628528,365
bche,0.0009908514951020287,366
bmf,0.000987215934226486,367
pik3ca,0.0009865526898073336,368
itgb3,0.0009838072842553813,369
prps2,0.000982626802953034,370
wfdc2,0.0009820766111959041,371
pdpk1,0.0009803094478100728,372
smad1,0.0009802374690187938,373
smad9,0.0009784571593047275,374
kdm6a,0.000978272267689054,375
kdr,0.0009780497662846559,376
inhba,0.0009780246346548372,377
ctbp1,0.000977950669092812,378
cdkn1a,0.0009747135409956299,379
smarcb1,0.0009744600842421261,380
aff2,0.0009738736458906883,381
myo1a,0.0009706270015955875,382
ush2a,0.000969776649390493,383
cyp19a1,0.0009693995044647367,384
folr3,0.0009690490916529738,385
rassf1,0.0009670487077497287,386
nbn,0.0009663216205900405,387
ugt2b17,0.000964864307905405,388
palb2,0.0009640332405067842,389
acvr1c,0.0009633118356624535,390
gh1,0.0009622739152724203,391
bbc3,0.0009596201131347448,392
zfp36l1,0.0009594319758684942,393
asxl2,0.0009583956880604153,394
nf1,0.0009557494550815575,395
or6a2,0.0009553075809457512,396
csf1,0.0009545563728459512,397
clrn2,0.0009538202375121853,398
wwox,0.0009529806985978045,399
brca2,0.0009500607601103434,400
maml3,0.0009485686502951293,401
cyp3a7,0.0009477915806563114,402
rad51d,0.0009464111008944058,403
hsd17b14,0.0009462216319345981,404
ryr2,0.0009442596541103128,405
tert,0.000942348375558157,406
hes7,0.000938495520644637,407
cyp3a43,0.0009377486301868533,408
kdm5a,0.0009337587125378602,409
ubr5,0.000932730821321478,410
prkg1,0.0009313625513798909,411
agmo,0.0009300316362121573,412
rptor,0.0009298579157235433,413
hsd17b13,0.0009255400052842502,414
palld,0.0009237551224192198,415
arid1b,0.0009216946646265943,416
ctnna3,0.0009187526906042316,417
mmp17,0.0009165005948819422,418
dll4,0.0009144105951010868,419
ep300,0.0009136537837839862,420
rictor,0.0009129030832108913,421
gldc,0.0009126277955883528,422
ctcf,0.0009122699487412813,423
abcb11,0.0009108700411241678,424
tsc1,0.0009090736470183619,425
smad5,0.0009070859119739346,426
rps6,0.0009057391544231495,427
slc29a1,0.0009033861031045108,428
mmp24,0.0009030375025978816,429
cxcr2,0.0009023145737831256,430
lipi,0.0009018655018447568,431
rfng,0.000899219168837594,432
rasgef1b,0.0008979162409617936,433
smad6,0.0008962691386124397,434
hsd17b3,0.0008936410939461761,435
ncoa2,0.0008930238501543775,436
dph1,0.0008889506126418013,437
gpr32,0.0008870919655905523,438
gdf11,0.0008829043567293854,439
casp10,0.000881012177194049,440
akap9,0.000876771115664512,441
map3k10,0.000876329159496449,442
maml1,0.0008745977643521294,443
akt2,0.0008735587802182665,444
taf1,0.0008735049734023653,445
prkacg,0.000873393984458834,446
mmp23b,0.0008709952696091959,447
myo3a,0.0008683135195457476,448
bmp15,0.0008676474643817371,449
acvr2b,0.0008668795365499372,450
slco1b3,0.0008666860715704828,451
rad50,0.0008636321847028294,452
cyp17a1,0.0008612690765679309,453
bmp3,0.0008603093161257417,454
hsd3b2,0.0008570234355380771,455
cir1,0.0008536953842426725,456
acvr1,0.0008508624945641248,457
inhbc,0.0008501591911662484,458
cyp11b2,0.0008501471651685739,459
kdm3a,0.0008497862254607966,460
hdac9,0.0008474142892187305,461
numbl,0.0008461079856053758,462
spaca1,0.0008445661299759567,463
mapk12,0.0008431880864363396,464
stk11,0.0008404087499272984,465
kmt2d,0.0008392654956461509,466
mmp16,0.0008367922162327571,467
bmp10,0.0008367407988984583,468
thsd7a,0.0008270278158481792,469
nrg3,0.0008260917263270817,470
itch,0.0008258399895586497,471
nr1i2,0.0008239563654192484,472
tg,0.0008208736930305085,473
birc6,0.0008140624116994887,474
tgfb1,0.0008118936670861833,475
akt3,0.0008114186108795741,476
magea8,0.0008112803497816175,477
pbrm1,0.0008049686609171294,478
cxcr1,0.0008037057568776515,479
akr1c1,0.0008026920477443269,480
smad2,0.0008024526540526915,481
apc,0.000800080181858475,482
abcc1,0.0007877250173050134,483
agtr2,0.0007859617924231598,484
mmp21,0.0007802436686143879,485
gps2,0.0007785441967381606,486
zfyve9,0.0007764108163221175,487
gdf2,0.0007064899019070404,488
rbpjl,0.000692572235370235,489
