gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
tgfb3,0.893617077270398,0.843457551649554,0.946759536656655,0.0015062272134715,0.894891801775894,0.0198584111807936,maior sobrevida (protetor),True,0.11247792076696118
cdk2,1.11901509635687,1.05496388907705,1.18695511651122,0.0019000064630088,1.22050439361451,4.0048770175e-06,menor sobrevida (risco),True,0.11244892017432691
rps6ka2,0.89366189629224,0.84258171437505,0.947838733335194,0.0019000064630088,0.920804963838935,0.110232076349598,maior sobrevida (protetor),True,0.1124277674081242
erbb2,1.11842660368969,1.05209068413651,1.18894510397409,0.0029660699638917,1.19907193014372,5.52200350126e-05,menor sobrevida (risco),True,0.11192287949068513
fn1,1.11809379440212,1.05231370913268,1.18798579000828,0.0027917466422951,1.17899969582865,0.000202019426047,menor sobrevida (risco),True,0.11162526602799522
tgfbr3,0.894824080055347,0.841972507771424,0.950993205664469,0.0030272935507236,0.803204779734972,3.2524347723e-06,maior sobrevida (protetor),True,0.1111281386248322
taf4b,0.895433772242526,0.838144026064829,0.956639450425985,0.0069132785467461,0.971099858017356,0.666436452700801,maior sobrevida (protetor),True,0.11044701639434736
pten,0.895461544429001,0.843641435281966,0.95046466901329,0.0026114174930736,0.858688363252576,0.0008601557109687,maior sobrevida (protetor),True,0.11041600153131345
akt1,1.11659687966124,1.0538369824873,1.18309436126118,0.0019000064630088,1.15997513189112,0.0010553896940425,menor sobrevida (risco),True,0.11028555939016466
acvr1b,1.11653544897347,1.05100572934578,1.1861509162185,0.0030387213721137,1.05175722624071,0.390019470757003,menor sobrevida (risco),True,0.1102305418822474
mmp15,1.11534530452745,1.05517931331693,1.17894194155585,0.0012982544454212,1.20986700420259,2.0667992984e-06,menor sobrevida (risco),True,0.10916404712713097
ppp2cb,0.896732980294165,0.842042283289502,0.954975841362574,0.0052466279934356,0.904937436403731,0.062798409345977,maior sobrevida (protetor),True,0.1089971420705516
dnah2,0.898446424264094,0.844853948416477,0.955438485889657,0.0050741970422215,0.897430311526176,0.0380751004933424,maior sobrevida (protetor),True,0.1070882025117518
mmp3,0.899783559782706,0.846382852718727,0.956553469691205,0.0053958643370162,0.963454626932747,0.552299915076532,maior sobrevida (protetor),True,0.10560103371030098
mmp19,0.900951251574078,0.84472575001637,0.960919159499006,0.0090130539163463,0.948514199971877,0.387335162769545,maior sobrevida (protetor),True,0.10430412763876203
smad6,1.10950614880875,1.04613326734058,1.17671804604188,0.0042833602119105,1.15236633332571,0.0020041633721985,menor sobrevida (risco),True,0.10391500533887742
acvr2a,0.901722297440984,0.848365631359297,0.958434749884256,0.0061896341888986,0.980772660800918,0.792327422587834,maior sobrevida (protetor),True,0.10344868055645742
pdgfb,1.10878603462696,1.04728964254968,1.17389346808656,0.0032841110463444,1.19269840984345,3.20983528586e-05,menor sobrevida (risco),True,0.10326575434077817
ar,1.10704302036738,1.04134702804715,1.1768836093405,0.0072201958125166,0.956406688895037,0.465822896030349,menor sobrevida (risco),True,0.10169251509187499
akap9,0.903599190466312,0.853278951655771,0.956886954057625,0.0042828379921049,0.919254695293937,0.093611182696296,maior sobrevida (protetor),True,0.1013693902869726
nek1,0.903631533453678,0.851945572693144,0.958453185771707,0.0054455835335728,0.85829548847627,0.0011061430801813,maior sobrevida (protetor),True,0.10133359741676366
