gene,vezes_selecionado,freq_selecao_perc,HR,fdr
tgfbr3,0,0,0.894824080055347,0.00302729355072368
tsc1,0,0,0.925957821195631,0.0443625335624459
tsc2,0,0,1.06676164416007,0.0905694928217955
vegfb,0,0,1.03028506310572,0.519769063721246
wfdc2,0,0,0.994585667409933,0.918449338354895
wwox,0,0,1.1243852018467,0.000302066200879256
zfyve9,0,0,1.06635134609961,0.103717003855735
arid1a,0,0,0.982035364028749,0.6725820085262
arid1b,0,0,1.00316452246699,0.947719054902131
cbfb,0,0,1.0192359162817,0.663276170419281
gata3,0,0,0.943227168865439,0.153147123130419
kmt2c,0,0,1.0741865633225,0.0403559299200686
kmt2d,0,0,0.971466023859721,0.509684583219822
myh9,0,0,1.03470907615669,0.427847449251989
ncor1,0,0,0.983644935245551,0.703523177812269
pde4dip,0,0,0.981834224858314,0.684045260594876
ptprd,0,0,0.969807353279537,0.507063739027739
ros1,0,0,1.03520182578172,0.442403438679133
tbx3,0,0,0.923820357579606,0.0411889686852515
abcb11,0,0,1.03226143742453,0.471032294885483
abcc1,0,0,1.05694473990297,0.168698539155665
abcc10,0,0,1.05039024020606,0.220102478999274
bbc3,0,0,1.02888113464152,0.532270904020985
bmf,0,0,1.05108420076486,0.244068779187589
cyp2c8,0,0,0.940594056068524,0.143265081450257
cyp3a4,0,0,0.991697102862333,0.872138984184631
fgf2,0,0,1.00688027019278,0.896477787299896
fn1,0,0,1.11809379440212,0.00279174664229518
map2,0,0,1.04376773922017,0.291752520178541
map4,0,0,1.09200528918755,0.00524662799343566
mapt,0,0,0.904472603494524,0.00618963418889861
nr1i2,0,0,0.985396541256604,0.746176197588102
slco1b3,0,0,1.02064605235192,0.663276170419281
tubb1,0,0,1.03432453522046,0.439192719080375
tubb4a,0,0,1.03010666744258,0.454661039472293
tubb4b,0,0,1.14418667086602,0.000190027263044771
twist1,0,0,0.991528812399303,0.872138984184631
adgra2,0,0,0.909830959167133,0.0108868781687761
