desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida global (OS),e2f8,1.08574974359495,1.02289550517769,1.15246620964643,2.70398241925698,0.0068513914014471,0.543857427175683,0.0301831567144832
Sobrevida global (OS),dtx2,1.08466581141945,1.02232952779815,1.15080303412161,2.69125336206758,0.00711841112044196,0.537889552298816,0.0310794914097868
Sobrevida global (OS),rbpjl,1.07980715586033,1.02069127878377,1.14234687616468,2.67290591414462,0.00751973375940202,0.515600587017269,0.0325411487464388
Sobrevida global (OS),map3k13,1.07954481796476,1.0202974484069,1.14223260659356,2.65770001159393,0.00786758901686533,0.524593611161369,0.0337478160460276
Sobrevida global (OS),ctnna3,1.08324324548446,1.02093188088398,1.14935771020461,2.64530673482662,0.00816168952677591,0.528473956134532,0.0347049232921167
Sobrevida global (OS),mapk9,1.08200989784332,1.02026922219308,1.14748675502959,2.62936226342341,0.00855451779062749,0.516519711316165,0.0360617172380762
Sobrevida global (OS),jak1,0.930411831233698,0.880898091485315,0.982708651621677,-2.58511924084285,0.0097345325210497,0.532051544940997,0.0403559299200686
Sobrevida global (OS),kmt2c,1.0741865633225,1.0174539471914,1.13408255578328,2.58498792586356,0.00973824075780797,0.530477454114147,0.0403559299200686
Sobrevida global (OS),tbx3,0.923820357579606,0.869750366486221,0.981251731489822,-2.57501785006684,0.0100234913569426,0.542640773576182,0.0411889686852515
Sobrevida global (OS),adam17,1.07919623871269,1.01766126261502,1.14445205338646,2.54442404471686,0.0109458114361925,0.535182437729932,0.0443625335624459
Sobrevida global (OS),tulp4,1.07773916243096,1.01729231163592,1.14177772598078,2.54211983455926,0.0110182390048502,0.506728584926522,0.0443625335624459
Sobrevida global (OS),asxl2,1.07786007917007,1.01724051327117,1.14209209632493,2.53875528557041,0.0111247607266086,0.519296383410731,0.0443625335624459
Sobrevida global (OS),tsc1,0.925957821195631,0.872545729331281,0.982639485600909,-2.5376901180477,0.0111586740862594,0.53174718050781,0.0443625335624459
Sobrevida global (OS),dlec1,0.925063868877929,0.870752470993872,0.982762828713722,-2.52320300728055,0.0116291245237611,0.532069637939007,0.0458600152590257
