subtipo,gene,diff_z,fdr_subtipo,HR_OS,IC95_inf,IC95_sup,fdr_OS,direcao_subtipo,direcao_risco,coerencia,escore_prioridade,posicao_RF,coef_LASSO
LumA,ccnb1,-0.579876999301358,5.39429287777313e-39,1.12777384252724,1.06387741938905,1.19550788155561,0.000719015371730211,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.219172355252931,14,0.00404106146142863
LumA,ncoa3,-0.578446566943246,3.47007541249694e-34,1.12591072891609,1.06289822076428,1.19265884985379,0.000719015371730211,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.215625488509784,82,
LumB,spry2,-0.895034173070226,1.15279121391242e-66,0.809747801858581,0.759021403005426,0.863864312677512,0.0000000264216737641463,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,1.43134954119608,55,-0.006354772831943
LumB,abcb1,-0.815641958001294,1.22703326745401e-58,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,1.05473737890257,34,-0.00546018561644415
LumB,stat5a,-0.558708587200994,9.94997985271776e-25,0.80712018362192,0.759187195353284,0.858079528734329,0.00000000168588703897088,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,1.05033797448356,106,-0.0220268168331193
LumB,pdgfra,-0.724686904304315,1.54354763868333e-42,0.843659709865771,0.795542234182723,0.894687516850697,0.000000620241181650398,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.764763736764711,98,-0.0290070591108804
LumB,ccnd2,-0.78402224987682,2.19836209697958e-52,0.845948426489695,0.796265993838513,0.898730758085751,0.00000227316914527909,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.740209453014116,30,-0.0214531708589331
LumB,kit,-0.855071937232655,3.86338279478491e-62,0.846375388812785,0.793721792258563,0.902521898447049,0.0000109645940866009,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.707393342219103,29,
LumB,lama2,-0.559009443150516,1.71596553704416e-28,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.659210147108358,36,
LumB,bcl2,0.753147130971266,1.13532727218788e-57,0.848651657435112,0.798322775155193,0.902153437282751,0.00000500111289918467,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.655175855296679,9,-0.0233829477224504
LumB,lamb3,-0.94281654813229,5.22529259362072e-72,0.872326528490745,0.820315525219307,0.927635219515415,0.000260437933066788,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.461588096812204,21,-0.0141186009190412
LumB,cyp11a1,-0.667282672182726,2.11944239682478e-35,0.87225315976645,0.816844350687797,0.931420501447955,0.000683518383483835,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.28867471881766,124,-0.00625984320758905
Normal,spry2,0.977549308801468,1.95363880134053e-32,0.809747801858581,0.759021403005426,0.863864312677512,0.0000000264216737641463,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.56330875037968,55,-0.006354772831943
Normal,abcb1,1.02202336830796,1.86346160648174e-36,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.32161696451693,34,-0.00546018561644415
Normal,lama2,0.97567217445096,6.92823309695051e-33,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.15055837701864,36,
Normal,aurka,-0.938499197321911,3.03363521298759e-36,1.19059639798958,1.12337575901865,1.26183939036042,0.000000260518764645943,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,1.07799355825399,2,0.024429104247341
Normal,kit,0.92871753534248,7.2860433307642e-30,0.846375388812785,0.793721792258563,0.902521898447049,0.0000109645940866009,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.768319684808754,29,
Normal,stat5b,0.661274886046716,3.90631943666305e-14,0.838352623752956,0.789452827075509,0.890281341264032,0.00000048458950633754,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.736245336507587,78,
Normal,cdkn2c,0.508977550465997,0.00000000631669333327302,0.81506424673563,0.759973871104346,0.874148114252084,0.000000499959863954217,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.65581466432768,136,-0.0928779245862108
Normal,fancd2,-0.807099380200907,1.64563621140153e-24,1.16278654745772,1.09619884514148,1.23341906529206,0.0000154413112540379,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.585663096512619,18,
Normal,pdgfra,0.516099318193351,0.00000000190817424190205,0.843659709865771,0.795542234182723,0.894687516850697,0.000000620241181650398,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.544640783183691,98,-0.0290070591108804
Normal,e2f7,-0.836482023649552,1.61060279528961e-24,1.1478474004887,1.08443478151925,1.21496808960961,0.0000509308374943492,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.495161712082338,15,0.0111948703000741
claudin.low,stat5a,0.791938267462768,6.01639951806317e-26,0.80712018362192,0.759187195353284,0.858079528734329,0.00000000168588703897088,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.4887955095339,106,-0.0220268168331193
claudin.low,abcb1,1.0340629180915,2.72349063805817e-50,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.33718576042952,34,-0.00546018561644415
claudin.low,igf1,0.837295081348407,1.65591532941122e-29,0.80409353565481,0.750004336735238,0.862083567271557,0.000000102898015516973,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.27567978774396,96,
claudin.low,cdkn2c,0.927932459556899,9.34571530350163e-36,0.81506424673563,0.759973871104346,0.874148114252084,0.000000499959863954217,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.19563566983633,136,-0.0928779245862108
claudin.low,ccnd2,1.25748647818469,3.3186444083913e-69,0.845948426489695,0.796265993838513,0.898730758085751,0.00000227316914527909,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.18721551376377,30,-0.0214531708589331
claudin.low,spry2,0.693988148628305,5.50635674663825e-23,0.809747801858581,0.759021403005426,0.863864312677512,0.0000000264216737641463,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,1.10983429239042,55,-0.006354772831943
claudin.low,pdgfra,0.929941829015858,3.78597219387413e-37,0.843659709865771,0.795542234182723,0.894687516850697,0.000000620241181650398,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.981369725198363,98,-0.0290070591108804
claudin.low,jak2,1.16821797640596,1.79998405795738e-55,0.858787331360974,0.807630393829366,0.913184652461115,0.0000321862534920601,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.798926915904993,116,-0.0102500149444498
claudin.low,lama2,0.601163343282126,5.8481822394616e-18,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.708920002724281,36,
claudin.low,stat5b,0.524373241025068,1.5362610408368e-12,0.838352623752956,0.789452827075509,0.890281341264032,0.00000048458950633754,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.583822796601414,78,
