gene,freq_perc,HR,IC95_inf,IC95_sup,valor_p,fdr
pik3ca,41.8,1.07212332536094,0.951488683092299,1.20805264971449,0.25284472244182,0.798010702884584
erbb3,2.6,1.21267459732763,0.865908423060606,1.69830855069623,0.261809439314469,0.798010702884584
arid1a,5,1.15924313343713,0.891674268399985,1.50710263831266,0.269750096749719,0.798010702884584
sf3b1,3.1,1.18628135511122,0.854582556569839,1.64672616199076,0.307319502333202,0.837990698050602
thada,4.1,0.847580462905157,0.615618259820917,1.16694498520479,0.310757477921149,0.837990698050602
pik3r1,2.4,1.20651330706355,0.83422216920713,1.74494806521978,0.31867251897699,0.837990698050602
map3k1,10.3,0.911771983112439,0.754063910683416,1.10246377980793,0.340467825822399,0.86332912976394
syne1,12.2,1.08334435439896,0.906239569833184,1.29506041148054,0.379415429092454,0.877765391160025
notch1,5,1.1193990479119,0.867344036294259,1.44470265088782,0.386185820231604,0.877765391160025
lamb3,3.1,1.14338839377817,0.836836178998754,1.56223768980782,0.400110918481616,0.877765391160025
col6a3,5.1,1.11362612396236,0.86455337289927,1.43445527233622,0.404735944076943,0.877765391160025
stab2,4,1.12872345606488,0.84008918937927,1.51652545512746,0.421635962185348,0.877765391160025
herc2,6.7,1.09515876358536,0.874104794955841,1.37211547674716,0.429396965322282,0.877765391160025
ahnak2,16.3,0.94538875183131,0.805297823182738,1.10985012794,0.492531173858849,0.877765391160025
dnah11,9.2,0.93146506513627,0.76034863542655,1.1410912404447,0.493007137679693,0.877765391160025
ctcf,2.2,0.871818191434074,0.586354941965546,1.29625744496589,0.497892648875528,0.877765391160025
utrn,5.3,1.09323049291442,0.84435015240246,1.41547071109928,0.498849699288308,0.877765391160025
ush2a,7.3,0.925712736544201,0.737931582874554,1.16127848500805,0.504561638657735,0.877765391160025
dnah2,7.8,1.07346757797369,0.869630983774888,1.32508231935191,0.509354838444142,0.877765391160025
setd2,2.8,1.11464130147311,0.802836874801468,1.54754380366113,0.516812079213351,0.877765391160025
arid1b,3.1,0.904162517735078,0.654662913929469,1.24874930453921,0.540843138516147,0.877765391160025
asxl1,2.2,0.884816752383369,0.597419260940674,1.31047111548684,0.541413992599069,0.877765391160025
ros1,3.2,1.10192771102747,0.793823925517164,1.52961461767377,0.561868250614062,0.877765391160025
myo1a,2.4,1.11007143344556,0.772220477932382,1.5957341492047,0.572778479528632,0.877765391160025
pten,4.1,0.926112934576838,0.680269163789266,1.26080265466247,0.625794772897564,0.877765391160025
tg,6,0.944707597085545,0.74603311491987,1.19629065539135,0.636804000061675,0.877765391160025
fancd2,2.2,0.906249440706597,0.59952014341854,1.36990901439597,0.640529652474262,0.877765391160025
setd1a,2.8,0.91729772027569,0.638037158738435,1.31878699555166,0.641184398788827,0.877765391160025
rb1,2.6,0.917324505344599,0.637883531547261,1.31918164757224,0.641545113252128,0.877765391160025
ahnak,9.1,0.95394464251552,0.779307563359836,1.16771660352009,0.647648815382997,0.877765391160025
ryr2,7.1,0.947177787995711,0.748051475680084,1.19931019620918,0.65222939779202,0.877765391160025
kdm6a,2.1,0.90412946797519,0.580900155803214,1.40721273130114,0.655233320161709,0.877765391160025
adgra2,2.4,0.920923681663704,0.628301991431751,1.34982928434846,0.672826881733426,0.881038562757196
ncor1,4,1.06232430973283,0.795150897534794,1.41926889920909,0.682494661290786,0.881038562757196
atr,4.1,1.05666025776011,0.796270592527772,1.40220034597187,0.702616294981312,0.890817088279877
pde4dip,6.2,1.04220703153514,0.820529615140494,1.32377366586008,0.734749434164465,0.902584822066535
afdn,2.6,0.945397475762716,0.65766674124795,1.3590110782895,0.761699216284409,0.902584822066535
kmt2d,7.4,0.967226641863835,0.778406031616458,1.20185011258,0.763631423893493,0.902584822066535
ptprd,2.8,0.950935554925372,0.678929942791219,1.33191714288451,0.769785798442819,0.902584822066535
tbx3,5.3,0.961608871553341,0.734811874725283,1.2584059317166,0.775460199240262,0.902584822066535
myo3a,2.4,1.05201291251752,0.722635550844998,1.53152051100927,0.791299752198651,0.906165845259746
map2k4,3.4,0.963158000551264,0.687681441485554,1.34898701355371,0.827127654140365,0.914704324591852
akt1,4,0.969892801142429,0.724030157514123,1.29924428691986,0.837616749606583,0.914704324591852
myh9,3.7,1.0316454330223,0.761328081046058,1.39794173625311,0.840725041654166,0.914704324591852
col12a1,4.3,0.973680175187826,0.738129642335309,1.28439914776262,0.850288527085384,0.914704324591852
usp9x,2.8,1.02965731490135,0.731644005134405,1.44905743597954,0.866862956103915,0.918615968408627
apc,2.3,1.02486967920123,0.694514830453298,1.51236203071501,0.901522577752576,0.928505782203343
akap9,6.1,0.984851091021273,0.771734594875594,1.2568202565056,0.902350689746911,0.928505782203343
ctnna3,2,1.00843303064676,0.678195054574012,1.49947595524442,0.966906665543453,0.980719617908359
shank2,3,1.00215079385378,0.701109484540411,1.4324527563339,0.99059517888977,0.99059517888977
