desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida específica (DSS),prkci,1.04895587337217,0.969882559102506,1.13447593624135,1.1952323538671,0.231996261026026,0.52071238752735,0.406617102658519
Sobrevida específica (DSS),epcam,1.04790335647024,0.970135411640986,1.1319053312817,1.18931683583426,0.234315012725496,0.532053855913933,0.409214432938455
Sobrevida específica (DSS),pbrm1,0.953674819329163,0.88114045389978,1.03218012179243,-1.1752127290575,0.239909618908032,0.515140489659867,0.417493963153123
Sobrevida específica (DSS),ptpn22,0.953041124560588,0.879383109396916,1.03286880927997,-1.17195258652935,0.241216092511566,0.494772793818776,0.41827896892963
Sobrevida específica (DSS),rassf1,0.95445999352256,0.881054840837332,1.03398090222091,-1.14154404552948,0.253643593773641,0.511681218256552,0.438274619630072
Sobrevida específica (DSS),bmp10,1.04659534959291,0.967660044728616,1.13196967442911,1.13829418062832,0.25499766315309,0.512036411302428,0.439062877753032
Sobrevida específica (DSS),bmp4,0.955463380839531,0.882901794077166,1.03398846649701,-1.13055080980321,0.258244201372018,0.526730902042082,0.443092682354094
Sobrevida específica (DSS),rfng,0.954782782831594,0.880461219567005,1.03537798387072,-1.11910874426193,0.263093749856072,0.52656905755857,0.449835117760906
Sobrevida específica (DSS),cxcr1,1.046371780943,0.96509573834836,1.13449252799272,1.09876706996843,0.271869679181027,0.512720235131619,0.461666408897536
Sobrevida específica (DSS),itgb3,0.953971362090288,0.877058064793484,1.03762954383492,-1.09869370634952,0.271901688675849,0.50221764006034,0.461666408897536
Sobrevida específica (DSS),ar,0.956406688895037,0.882805896487853,1.03614368481481,-1.0909331839467,0.275302284156996,0.536457631955761,0.465822896030349
Sobrevida específica (DSS),sik1,0.956415309880561,0.882284301416633,1.03677493015029,-1.08260059884919,0.278985741390966,0.502918760246547,0.468960528302722
Sobrevida específica (DSS),ugt2b15,0.953318590415165,0.874265294421144,1.03952008690095,-1.08240035590788,0.279074670216958,0.535038095226329,0.468960528302722
Sobrevida específica (DSS),lipi,1.03728716350299,0.9701026254875,1.10912457228676,1.07152874989333,0.2839317507697,0.515471591351327,0.475306766468752
Sobrevida específica (DSS),nf2,1.04348862258619,0.965185111035939,1.12814473930098,1.06960918100394,0.284795260890275,0.519633218394923,0.475306766468752
Sobrevida específica (DSS),bmp5,1.03878488632168,0.968437432967778,1.11424239018056,1.06355705710438,0.287529404736204,0.506672069719144,0.478237683387768
Sobrevida específica (DSS),setd1a,1.04144655349004,0.966080041954189,1.12269261000604,1.05958772482977,0.289332200474353,0.512782625562286,0.479604901803249
Sobrevida específica (DSS),tert,1.04211207952165,0.96473906477456,1.12569048558089,1.04796576730639,0.29465437918946,0.508536369914717,0.486776998052857
